学校,官网,招生网
山东工商学院,http://www.sdibt.edu.cn,http://career.sdibt.edu.cn/recruit/
哈尔滨医科大学,http://www.hrbmu.edu.cn,http://202.97.205.73:8080/hmuzs/
兰州交通大学,http://www.lzjtu.edu.cn/,http://zsjyc.lzjtu.cn/zsb/
安徽财经大学,http://www.aufe.edu.cn,http://zsjy.aufe.edu.cn/
中国石油大学(北京),http://www.cup.edu.cn,http://www.cup.edu.cn/bkzs/
南京医科大学,http://www.njmu.edu.cn,http://zs.njmu.edu.cn/
浙江传媒学院,http://www.zjicm.edu.cn,http://zsw.zjicm.edu.cn/
中南林业科技大学,http://www.csuft.edu.cn,http://www.csfujob.com/list.aspx?cid=85
上海对外经贸大学,http://www.shift.edu.cn,http://210.35.74.150/zhsw/
香港中文大学,http://www.cuhk.edu.hk,http://www.cuhk.edu.hk/chinese/index.html
广西民族大学,http://www.gxun.edu.cn,http://zs.gxun.edu.cn/
浙江科技学院,http://www.zust.edu.cn,http://zsb.zust.edu.cn/
江苏科技大学,http://www.ecsi.edu.cn,http://xsc.just.edu.cn/zsw/index.html
辽宁师范大学,http://www.lnnu.edu.cn,http://zsb.lnnu.edu.cn/
中北大学,http://www.nuc.edu.cn,http://zsjy.nuc.edu.cn/zsw/
燕山大学,http://www.ysu.edu.cn,http://zsjyc.ysu.edu.cn/
福建医科大学,http://www.fjmu.edu.cn,http://www.fjmu.edu.cn/s/1/t/30/p/1/c/340/list.htm
上海工程技术大学,http://www.sues.edu.cn,http://zsb.sues.edu.cn/
北京化工大学,http://www.buct.edu.cn,http://www.goto.buct.edu.cn/
山西财经大学,http://www.sxufe.edu.cn,http://218.26.164.161:81/zhaosheng/index.asp
武汉工程大学,http://www.wit.edu.cn,http://www.wit.edu.cn/menu/menu9.htm
浙江海洋大学,http://www.zjou.net.cn,
广东海洋大学,http://www.gdou.edu.cn,http://zsjy.gdou.edu.cn/zhaosheng/index.php
成都医学院,http://www.cmc.edu.cn,http://zs.cmc.edu.cn/
沈阳师范大学,http://www.synu.edu.cn,http://zs.synu.edu.cn/Index.aspx
山东农业大学,http://www.sdau.edu.cn,http://zhaosheng.sdau.edu.cn/new/
贵州大学,http://www.gzu.edu.cn/,http://rso.gzu.edu.cn/html/indexModel.jsp
西安工业大学,http://www.xatu.cn/,http://zsb.xatu.cn/
北京林业大学,http://www.bjfu.edu.cn,http://zsb.bjfu.edu.cn/
西华师范大学,http://www.cwnu.edu.cn,http://cwnuzs.good-edu.cn/
沈阳大学,http://www.syu.edu.cn,http://zsjy.syu.edu.cn/zs/index.asp
第四军医大学,http://www.fmmu.edu.cn/,
厦门大学嘉庚学院,http://www.xujc.com,http://zsb.xujc.com/index.asp
内蒙古大学,http://www.imu.edu.cn,http://zhaosheng.imu.edu.cn/
成都信息工程大学,http://www.cuit.edu.cn,http://zjc.cuit.edu.cn/Index.htm
北京联合大学,http://www.buu.edu.cn,http://zsxx.buu.edu.cn/
湖南中医药大学,http://www.hnctcm.edu.cn,http://www.hnctcm-zsjy.com/zhaosheng/
江西师范大学,http://www.jxnu.edu.cn,http://zs.jxnu.edu.cn/
南京邮电大学,http://www.njupt.edu.cn,http://zs.njupt.edu.cn/html/Index/s/id/1244
重庆科技学院,http://www.cqust.cn,http://222.180.188.236/index.action
湖南农业大学,http://www.hunau.net,http://zs.hunau.edu.cn/
青岛农业大学,http://www.qau.edu.cn,http://zsw.qau.edu.cn/
上海政法学院,http://www.shupl.edu.cn,http://zs.shupl.edu.cn/
西南医科大学,http://www.lzmc.edu.cn,http://www.lzmc.edu.cn/html/zsxxw/
曲阜师范大学,http://www.qfnu.edu.cn,http://www.qfnuzsb.com/index.html
长春工业大学,http://www.ccut.edu.cn,http://bzkzs.ccut.edu.cn/
河北经贸大学,http://www.heuet.edu.cn,http://zhaosheng.heuet.edu.cn/
内蒙古科技大学,http://www.imust.cn,http://zhaosheng.imust.cn/
辽宁石油化工大学,http://www.lnpu.edu.cn,http://zhaosheng.lnpu.edu.cn/
长春大学,http://www.ccu.edu.cn,http://zsb.ccu.edu.cn/
首都医科大学,http://www.ccmu.edu.cn,http://www.ccmu.edu.cn/col/col7872/index.html
辽宁科技大学,http://www.ustl.edu.cn,http://zsjy.ustl.edu.cn/
山东财经大学,http://www.sdufe.edu.cn/index.php,http://web5.sdufe.edu.cn:8080/zb/
西安建筑科技大学,http://www.xauat.edu.cn/,http://www.xauat.edu.cn/zh-cn/html/06zhshjy/bkshzh
西安邮电大学,http://www.xiyou.edu.cn,http://www.xupt.edu.cn/
北京中医药大学,http://www.bucm.edu.cn,http://bkzs.bucm.edu.cn/
西安工程大学,http://www.xpu.edu.cn/,http://zsb.xpu.edu.cn/
广州医科大学,http://www.gzhmc.edu.cn,http://www.gzhmu.edu.cn/zsjy_1.htm
南京工程学院,http://www.njit.edu.cn,http://zsb.njit.edu.cn/
安徽理工大学,http://www.aust.edu.cn,http://zs.aust.edu.cn/
临沂大学,http://www.lyu.edu.cn,http://daohang.lyu.edu.cn/ReadNews.asp?NewsID=2620
闽江学院,http://www.mju.edu.cn,http://zsb.mju.edu.cn/
中国地质大学(北京),http://www.cugb.edu.cn,http://zhsh.cugb.edu.cn/
北京语言大学,http://www.blcu.edu.cn,http://zsb.blcu.edu.cn/
绍兴文理学院,http://www.usx.edu.cn,http://zs.usx.edu.cn/
吉首大学,http://www.jsu.edu.cn,http://zsjy.jsu.edu.cn/
桂林理工大学,http://www.glite.edu.cn,http://zj.glut.edu.cn/zsw/
华南农业大学,http://www.scau.edu.cn,http://zsb.scau.edu.cn/
汕头大学,http://www.stu.edu.cn,http://www.stu.edu.cn/index.php?option=com_content
三峡大学,http://www.ctgu.edu.cn,http://www.ctgu.edu.cn/zsjy/bkzsjy.htm
广西师范大学,http://www.gxnu.edu.cn,http://www.gxnu.edu.cn//type/01040000010601.html
河北大学,http://www.hbu.edu.cn,http://www.hbu.edu.cn/zsxx.jhtml
南京信息工程大学,http://www.nuist.edu.cn,http://web2.nuist.edu.cn/zsw/sy/index.html
聊城大学,http://www.lcu.edu.cn,http://zsb.lcu.edu.cn/
温州大学,http://www.wzu.edu.cn,http://zs.wzu.edu.cn/
长治学院,http://www.czc.edu.cn,http://jwc.czc.edu.cn/czxy/jwc/newslist/list-115-1
华北水利水电大学,http://www.ncwu.edu.cn,http://www5.ncwu.edu.cn/zhaoshengwang/
南昌航空大学,http://www.nchu.edu.cn,http://zjw.nchu.edu.cn/
上海电力学院,http://www.shiep.edu.cn,http://zs.shiep.edu.cn/
延安大学,http://www.yau.edu.cn/,http://zsw.yau.edu.cn/
重庆文理学院,http://www.cqwu.net,http://zb.cqwu.net:8080/
河南工业大学,http://www.haut.edu.cn,http://zs.haut.edu.cn/
浙江万里学院,http://www.zjwu.net,http://zsw.zwu.edu.cn/bkzs.asp
兰州理工大学,http://www.gsut.edu.cn/,http://202.201.32.4:9300/
川北医学院,http://www.nsmc.edu.cn,http://zs.gotonsmc.cn/
华北电力大学(保定),http://202.206.208.40/zs,
南京中医药大学,http://www.njutcm.edu.cn,http://zs.njucm.edu.cn/
湖北大学,http://www.hubu.edu.cn,http://zsxx.hubu.edu.cn/
广州中医药大学,http://www.gzucm.edu.cn,http://xsc.gzucm.edu.cn/saao_website/RecruitInfo/w
湖南理工学院,http://www.hnist.cn,http://zsb.hnist.cn/
沈阳建筑大学,http://www.sjzu.edu.cn,http://zs.sjzu.edu.cn/Portal/Default.aspx
山东中医药大学,http://www.sdutcm.edu.cn,http://zhaosheng.jwc.sdutcm.edu.cn/
西安医学院,http://www.xiyi.edu.cn/,http://zsjyc.xiyi.edu.cn/
东北林业大学,http://www.nefu.edu.cn,http://zhaosheng.nefu.edu.cn/
山东交通学院,http://www.sdjtu.edu.cn,http://zsw.sdjtu.edu.cn/
三亚学院,http://www.sanyau.edu.cn/,http://zhaosheng.sanyau.edu.cn/
河北工业大学,http://www.hebut.edu.cn,http://zs.hebut.edu.cn/
